cod_ibge,total_familias,renda_media_pc,ivs_geral,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_trabalho,score_prioridade,faixa_prioridade
1506005,1859,91.7132867132867,0.744,0.992,0.649,0.591,59.7,ALTA
2103125,154,102.8896103896104,0.727,1.0,0.555,0.626,59.53,ALTA
2110278,172,78.3546511627907,0.757,0.964,0.634,0.674,59.11,ALTA
2105104,1342,116.397913561848,0.759,1.0,0.604,0.672,58.95,ALTA
2105005,1338,126.4424514200299,0.764,1.0,0.632,0.659,58.6,ALTA
2112407,1859,80.10274341043572,0.703,0.948,0.604,0.556,58.09,ALTA
2100550,106,133.58490566037736,0.773,0.987,0.716,0.616,57.67,ALTA
2101301,266,193.28195488721803,0.733,1.0,0.591,0.608,57.19,ALTA
2103703,2356,242.26358234295412,0.696,1.0,0.52,0.567,56.65,ALTA
1508308,2309,82.04374187960155,0.741,0.92,0.672,0.63,56.4,ALTA
2102606,1201,165.07577019150708,0.697,0.972,0.59,0.53,56.11,ALTA
1501006,66,175.16666666666666,0.769,0.974,0.576,0.758,56.04,ALTA
2108058,221,84.76470588235294,0.72,0.9,0.566,0.693,55.1,ALTA
1508357,69,213.231884057971,0.706,0.96,0.586,0.572,54.74,ALTA
1502855,73,177.58904109589042,0.661,0.947,0.49,0.545,54.51,ALTA
2100832,1192,165.73909395973155,0.652,0.931,0.535,0.491,53.84,ALTA
2105658,95,159.2,0.7,0.925,0.647,0.529,53.64,ALTA
1600550,111,41.648648648648646,0.576,0.74,0.521,0.468,52.47,ALTA
2112456,1504,79.59441489361703,0.695,0.842,0.6,0.643,52.3,ALTA
2108256,1476,113.81571815718158,0.74,0.873,0.665,0.681,52.07,ALTA
1303700,1262,134.310618066561,0.745,0.884,0.698,0.653,51.98,ALTA
2109452,1176,119.3095238095238,0.642,0.87,0.548,0.507,51.7,ALTA
2109270,1145,135.7368881118881,0.715,0.879,0.611,0.654,51.67,ALTA
2111748,165,145.27878787878788,0.704,0.877,0.714,0.522,51.31,ALTA
2106805,246,193.1788617886179,0.62,0.882,0.455,0.522,50.7,ALTA
2100709,1649,52.162522741055184,0.677,0.746,0.63,0.654,50.37,ALTA
2103174,276,113.3876811594203,0.716,0.84,0.766,0.542,50.27,ALTA
2102358,81,88.39506172839506,0.628,0.815,0.572,0.497,50.17,ALTA
2112274,111,128.46846846846847,0.678,0.847,0.619,0.569,50.12,ALTA
1503002,55,145.8,0.641,0.854,0.591,0.479,50.03,ALTA
